SongID_Original,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
fd8a8dfc-d134-42ba-b953-cc788252daa7,129.65,1139.1404,0.9966,0.1011,0.7687,9.3392,2192.0175,9.4074
27fe14d9-7be9-44dc-b003-599c7d68ebec,161.7,1929.9293,1.2594,0.0348,0.7596,6.5206,1758.0497,1.9674
e615a575-9197-4b20-b776-19933dfb49c0,129.6,892.3945,1.1764,0.1746,0.8554,17.7383,2776.0985,17.4324
d1ade178-477c-481e-9c7e-64b459e55c89,92.29,5476.3469,1.364,0.1025,0.2511,16.9316,2410.1656,10.0354
2789de44-9d1f-458a-a443-c6e909552ffd,89.73,750.4491,1.1493,0.1604,0.9457,16.7389,1468.3771,15.4915
97156cb7-156c-4c98-b17c-a450c9e29ae0,102.94,1153.9839,1.3177,0.2396,0.932,24.2288,2511.7221,25.245
98bd6c43-4626-4451-9276-58fdf895ab9d,143.55,1536.752,1.0361,0.036,0.4843,4.4875,2142.6496,2.5214
38087a9b-5d43-47c6-802c-9997ed5cc419,142.74,1334.5862,1.3676,0.1209,0.9236,15.5636,2204.5386,10.4379
5624b5dc-cdbd-4905-ba31-2bc9b3295729,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071
5d4090da-8304-4d3b-9f49-03eace8795fe,131.07,1905.387,1.3204,0.1593,0.9064,19.8404,2486.7636,15.0284
0d91e8d1-be18-4938-b613-5a16d878163a,128.72,1463.3539,1.2804,0.0781,0.8718,11.6074,2139.6551,5.9019
b31958a9-987b-40e3-a6e4-2fa69ccf9c52,81.92,1118.5471,1.3251,0.1214,0.876,14.0956,2319.0912,10.4646
3bd980b1-0d2b-4961-a3cf-c0901d4d8c22,143.22,1889.6929,1.2403,0.0828,0.8789,14.8602,1846.6317,6.5042
5000fd95-9196-4fae-a0bc-6bc8102224eb,125.23,2134.3043,1.4518,0.1995,0.8396,29.5775,1953.8753,20.1093
b87433d5-e7f4-45f7-a0e7-4a323ecb0e79,153.12,2192.6911,1.318,0.3458,0.7937,44.0823,2195.0064,41.5359
eb981f6d-3136-41e9-8d73-4cc7fe2778e2,124.14,2456.785,1.2137,0.2573,0.8385,40.9769,1861.3738,28.079
acee5d6e-2a07-4998-9c56-3a8283d3cbbf,150.14,2262.4085,1.3894,0.1408,0.7248,21.8987,2214.3585,13.3467
9b88a5f7-2bba-4cb9-bc2c-c84008ca3f0e,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071
c421cb07-91aa-4562-801f-1f60760ef409,139.94,1522.8315,1.3143,0.2197,0.8651,24.6477,2420.2639,23.573
5c240015-2cc3-4a6f-a48e-0ed12b5096fe,85.06,1092.7777,1.3235,0.2705,0.825,10.5199,2939.125,32.8546
86418b67-c540-4189-993d-c94c358c78ab,106.04,1332.6988,1.2176,0.2347,0.9268,29.9018,2054.9772,25.1617
c858e367-6049-48a4-92c0-19135fc67693,156.21,2456.1091,1.4629,0.2267,0.8007,26.7128,2297.436,24.3122
464f60c8-0e6d-4ddf-8835-408e70d4e8d6,143.63,1040.4305,1.2131,0.121,0.8746,10.8673,2388.6211,11.1571
a61cc46d-0614-4357-a7a3-cf51fa4af878,140.03,2224.2162,1.3682,0.2745,0.8779,36.2247,2424.7026,30.6017
b1377fbb-aab4-40f0-9b98-24b09bf2dac3,144.97,1487.3485,1.3704,0.2961,0.8663,27.5103,2346.0466,34.5267
62c70b07-f05d-4c39-aed7-cf10585b4a2a,83.94,1529.6286,1.2399,0.2144,0.9036,25.775,2028.1672,22.4647
57efc190-4a3d-4a9e-92c8-f70536f62e05,123.0,1579.1351,1.2364,0.211,0.865,29.8709,1283.8739,21.7752
272afead-da3d-4ffa-87a3-b8a333294e2a,97.01,1939.5743,1.4915,0.2105,0.7907,21.3518,2604.6006,22.7132
dd56522e-ff51-43a6-be56-af16f029f7a8,99.89,2099.2929,1.4495,0.2238,0.8232,25.5901,2579.558,24.5903
939baa44-4d57-43e0-8bab-728e529dd2fb,134.68,1794.3173,1.4321,0.2058,0.782,19.8245,2124.0039,21.4578
a369c6b0-90e8-4768-98b9-278101a4a149,89.97,1478.2368,1.2651,0.1844,0.8848,20.6097,1883.8233,18.5447
d2650833-22ee-41df-bcb7-d53a0af7d3e5,129.65,1707.2895,1.3321,0.3148,0.8244,32.8896,2128.5949,37.1335
