SongID_Original,ArtistID_Original
TR321989,ART04141409
TR321989,ART24123617
TR834470,ART04141409
TR834470,ART07127070
TR903244,ART04141409
TR137501,ART04141409
TR499413,ART04141409
TR499413,ART02733420
TR499413,ART88792008
TR687977,ART04141409
TR767308,ART04141409
TR994787,ART04141409
TR262429,ART04141409
TR120889,ART04141409
TR236676,ART04141409
TR817794,ART04141409
TR137880,ART04141409
TR137880,ART28846313
TR647101,ART04141409
TR940582,ART04141409
TR123335,ART04141409
TR123335,ART85046033
TR646778,ART04141409
TR176901,ART04141409
TR176901,ART56320683
TR176901,ART80977821
TR904470,ART04141409
TR904470,ART80977821
TR160759,ART04141409
TR204974,ART04141409
TR204974,ART02733420
TR556991,ART04141409
TR577588,ART04141409
TR991898,ART04141409
TR991898,ART02733420
TR616549,ART04141409
TR936433,ART04141409
TR936433,ART86549066
TR962058,ART04141409
TR391199,ART04141409
TR167825,ART04141409
TR649360,ART04141409
TR224974,ART04141409
TR817689,ART04141409
TR839122,ART04141409
TR727577,ART04141409
TR727577,ART15560128
TR453783,ART04141409
TR453783,ART57730937
TR940221,ART04141409
TR546696,ART04141409
TR546696,ART19729064
TR546696,ART57616402
TR546696,ART02733420
TR546696,ART88792008
TR772974,ART04141409
TR369509,ART04141409
TR369509,ART28846313
TR597620,ART04141409
TR528565,ART04141409
TR702417,ART04141409
TR695938,ART04141409
TR407477,ART04141409
TR675917,ART04141409
TR922105,ART04141409
TR840393,ART04141409
TR711782,ART04141409
TR711782,ART19729064
TR495490,ART04141409
TR655499,ART04141409
TR932236,ART04141409
TR774326,ART04141409
